accy,accz,accx,gyroy,gyroz,gyrox
0.002,-0.007,0.045,-0.0,-0.0,-0.0
-0.0013333333333333,-0.0086666666666666,0.05,-0.0,-0.0,-0.0
-0.01,-0.0033333333333333,0.0466666666666666,-0.0,-0.0,-0.0
-0.0084615384615384,-0.01,0.0415384615384615,-0.0,-0.0,-0.0
-0.0045454545454545,-0.0054545454545454,0.0472727272727272,-0.0,-0.0,-0.0
-0.0071428571428571,-0.01,0.0414285714285714,-0.0,-0.0,-0.0
-0.0072727272727272,-0.01,0.0445454545454545,-0.0,-0.0,-0.0
-0.0171428571428571,-0.01,0.0414285714285714,-0.0,-0.0,-0.0
-0.01,-0.005,0.04,-0.0,-0.0,-0.0
-0.0086666666666666,-0.0046666666666666,0.0413333333333333,-0.0,-0.0,-0.0
-0.01,-0.013,0.045,-0.0,-0.0,-0.0
-0.0078571428571428,-0.01,0.0492857142857142,-0.0,-0.0,-0.0
-0.01,-0.01,0.0507692307692307,-0.0,-0.0,-0.0
-0.0176923076923076,-0.01,0.0423076923076923,-0.0,-0.0,-0.0
-0.01,-0.0133333333333333,0.0466666666666666,-0.0,-0.0,-0.0
-0.01,-0.011,0.04,-0.0,-0.0,-0.0
-0.0115384615384615,-0.0084615384615384,0.0476923076923076,-0.0,-0.0,-0.0
-0.0066666666666666,-0.0013333333333333,0.0466666666666666,-0.0,-0.0,-0.0
-0.0133333333333333,-0.0066666666666666,0.0466666666666666,-0.0,-0.0,-0.0
-0.0108333333333333,-0.01,0.05,-0.0,-0.0,-0.0
-0.0141666666666666,-0.0066666666666666,0.0475,-0.0,-0.0,-0.0
-0.0028571428571428,-0.0028571428571428,0.0414285714285714,-0.0,-0.0,-0.0
-0.0025,-0.0025,0.05,-0.0,-0.0,-0.0
-0.0107692307692307,-0.0076923076923076,0.0407692307692307,-0.0,-0.0,-0.0
-0.013,-0.007,0.042,-0.0,-0.0,-0.0
-0.0166666666666666,-0.0033333333333333,0.0433333333333333,-0.0,-0.0,-0.0
-0.01625,-0.01,0.04375,-0.0,-0.0,-0.0
-0.0029411764705882,-0.01,0.0470588235294117,-0.0,-0.0,-0.0
-0.0041666666666666,-0.0133333333333333,0.0458333333333333,-0.0,-0.0,-0.0
-0.0246153846153846,-0.003076923076923,0.0423076923076923,-0.0,-0.0,-0.0
-0.01,-0.005,0.05,-0.0,-0.0,-0.0
-0.01,-0.01,0.0446666666666666,-0.0,-0.0,-0.0
-0.007,-0.01,0.046,-0.0,-0.0,-0.0
0.0021428571428571,-0.0092857142857142,0.0407142857142857,-0.0,-0.0,-0.0
-0.0083333333333333,-0.0025,0.05,-0.0,-0.0,-0.0
-0.0118181818181818,-0.0018181818181818,0.05,-0.0,-0.0,-0.0
-0.0133333333333333,-0.006,0.0446666666666666,-0.0,-0.0,-0.0
