accy,accz,accx,gyroy,gyroz,gyrox
-0.0091666666666666,-0.0066666666666666,0.0475,-0.0,-0.0,-0.0
-0.0116666666666666,-0.01,0.0316666666666666,-0.0,-0.0,-0.0
-0.0083333333333333,-0.01,0.04,-0.0,-0.0,-0.0
-0.0014285714285714,-0.0028571428571428,0.0471428571428571,-0.0,-0.0,-0.0
-0.0091666666666666,-0.01,0.0466666666666666,-0.0,-0.0,-0.0
-0.01,-0.0092307692307692,0.0423076923076923,-0.0,-0.0,-0.0
-0.01,-0.0066666666666666,0.0458333333333333,-0.0,-0.0,-0.0
-0.0027272727272727,-0.01,0.05,-0.0,-0.0,-0.0
-0.0181818181818181,-0.0054545454545454,0.0409090909090909,-0.0,-0.0,-0.0
-0.019375,-0.003125,0.05625,-0.0,-0.0,-0.0
-0.01,-0.0066666666666666,0.0408333333333333,-0.0,-0.0,-0.0
-0.01,-0.01,0.038,-0.0,-0.0,-0.0
-0.0064285714285714,-0.0078571428571428,0.0435714285714285,-0.0,-0.0,-0.0
-0.01,-0.006,0.04,-0.0,-0.0,-0.0
-0.013125,-0.005,0.045,-0.0,-0.0,-0.0
-0.0038461538461538,-0.0092307692307692,0.0415384615384615,-0.0,-0.0,-0.0
-0.0124999999999999,-0.0041666666666666,0.0466666666666666,-0.0,-0.0,-0.0
-0.0181818181818181,-0.0163636363636363,0.0418181818181818,-0.0,-0.0,-0.0
-0.0142857142857142,-0.0035714285714285,0.0492857142857142,-0.0,-0.0,-0.0
-0.026,-0.01,0.0339999999999999,-0.0,-0.0,-0.0
-0.016,-0.0033333333333333,0.0406666666666666,-0.0,-0.0,-0.0
-0.0169230769230769,-0.0015384615384615,0.0415384615384615,-0.0,-0.0,-0.0
-0.0036363636363636,-0.0018181818181818,0.0372727272727272,-0.0,-0.0,-0.0
-0.0128571428571428,-0.0092857142857142,0.0421428571428571,-0.0,-0.0,-0.0
-0.0181818181818181,-0.0081818181818181,0.04,-0.0,-0.0,-0.0
-0.0025,-0.0124999999999999,0.04,-0.0,-0.0,-0.0
-0.015,-0.0066666666666666,0.0483333333333333,-0.0,-0.0,-0.0
-0.02,-0.01,0.045,-0.0,-0.0,-0.0
-0.0146666666666666,-0.0066666666666666,0.044,-0.0,-0.0,-0.0
-0.0169230769230769,-0.0092307692307692,0.0423076923076923,-0.0,-0.0,-0.0
-0.0108333333333333,-0.0041666666666666,0.0458333333333333,-0.0,-0.0,-0.0
-0.01,-0.0083333333333333,0.0416666666666666,-0.0,-0.0,-0.0
-0.01,-0.0084615384615384,0.0438461538461538,-0.0,-0.0,-0.0
-0.01,0.0045454545454545,0.0481818181818181,-0.0,-0.0,-0.0
-0.0192857142857142,-0.0064285714285714,0.0535714285714285,-0.0,-0.0,-0.0
-0.012,-0.008,0.0339999999999999,-0.0,-0.0,-0.0
-0.0133333333333333,-0.008,0.0433333333333333,-0.0,-0.0,-0.0
-0.01,-0.0,0.038,-0.0,-0.0,-0.0
-0.0153333333333333,-0.0,0.04,-0.0,-0.0,-0.0
-0.0118181818181818,-0.0081818181818181,0.0481818181818181,-0.0,-0.0,-0.0
-0.0171428571428571,-0.0171428571428571,0.0442857142857142,-0.0,-0.0,-0.0
-0.0018181818181818,-0.0018181818181818,0.0481818181818181,-0.0,-0.0,-0.0
-0.0141666666666666,-0.0008333333333333,0.0416666666666666,-0.0,-0.0,-0.0
-0.0133333333333333,-0.01,0.05,-0.0,-0.0,-0.0
-0.0046666666666666,-0.0033333333333333,0.0466666666666666,-0.0,-0.0,-0.0
-0.0081818181818181,-0.0018181818181818,0.05,-0.0,-0.0,-0.0
-0.0171428571428571,-0.0071428571428571,0.0371428571428571,-0.0,-0.0,-0.0
-0.018,-0.008,0.04,-0.0,-0.0,-0.0
-0.0113333333333333,-0.0046666666666666,0.0433333333333333,-0.0,-0.0,-0.0
-0.01,-0.0081818181818181,0.0481818181818181,-0.0,-0.0,-0.0
-0.0135714285714285,-0.0078571428571428,0.0442857142857142,-0.0,-0.0,-0.0
-0.018,-0.0,0.04,-0.0,-0.0,-0.0
-0.0084615384615384,-0.0038461538461538,0.04,-0.0,-0.0,-0.0
-0.013076923076923,-0.0138461538461538,0.0469230769230769,-0.0,-0.0,-0.0
-0.0085714285714285,-0.0128571428571428,0.0514285714285714,-0.0,-0.0,-0.0
-0.02,-0.0036363636363636,0.04,-0.0,-0.0,-0.0
-0.0123076923076923,-0.0053846153846153,0.04,-0.0,-0.0,-0.0
-0.005,-0.01,0.04,-0.0,-0.0,-0.0
-0.013076923076923,-0.0023076923076923,0.04,-0.0,-0.0,-0.0
-0.0172727272727272,-0.01,0.04,-0.0,-0.0,-0.0
-0.0166666666666666,-0.0013333333333333,0.0486666666666666,-0.0,-0.0,-0.0
-0.0118181818181818,-0.0,0.0418181818181818,-0.0,-0.0,-0.0
-0.01,-0.0014285714285714,0.04,-0.0,-0.0,-0.0
-0.01,0.0018181818181818,0.04,-0.0,-0.0,-0.0
-0.01,-0.0092307692307692,0.0476923076923076,-0.0,-0.0,-0.0
-0.01,-0.01,0.0475,-0.0,-0.0,-0.0
-0.0085714285714285,-0.0028571428571428,0.0371428571428571,-0.0,-0.0,-0.0
-0.012,-0.01,0.048,-0.0,-0.0,-0.0
-0.015,-0.0064285714285714,0.0428571428571428,-0.0,-0.0,-0.0
-0.005,-0.0025,0.0425,-0.0,-0.0,-0.0
-0.0185714285714285,-0.0021428571428571,0.04,-0.0,-0.0,-0.0
-0.02,-0.0018181818181818,0.0481818181818181,-0.0,-0.0,-0.0
-0.02,-0.0038461538461538,0.0461538461538461,-0.0,-0.0,-0.0
-0.02,-0.0066666666666666,0.0566666666666666,-0.0,-0.0,-0.0
-0.01125,-0.006875,0.048125,-0.0,-0.0,-0.0
-0.0072727272727272,-0.01,0.04,-0.0,-0.0,-0.0
-0.0135714285714285,-0.0085714285714285,0.0385714285714285,-0.0,-0.0,-0.0
-0.01,-0.0,0.0372727272727272,-0.0,-0.0,-0.0
-0.005,-0.0085714285714285,0.045,-0.0,-0.0,-0.0
-0.0075,-0.0025,0.05,-0.0,-0.0,-0.0
-0.0153846153846153,-0.0092307692307692,0.0423076923076923,-0.0,-0.0,-0.0
-0.0275,-0.01,0.05,-0.0,-0.0,-0.0
-0.0158333333333333,-0.0016666666666666,0.045,-0.0,-0.0,-0.0
-0.01,-0.01,0.04,-0.0,-0.0,-0.0
-0.013125,-0.006875,0.045625,-0.0,-0.0,-0.0
-0.01,-0.01,0.0525,-0.0,-0.0,-0.0
-0.0084615384615384,-0.0061538461538461,0.0461538461538461,-0.0,-0.0,-0.0
-0.0072727272727272,-0.0027272727272727,0.0427272727272727,-0.0,-0.0,-0.0
-0.01,-0.0035714285714285,0.045,-0.0,-0.0,-0.0
-0.01,-0.0075,0.0425,-0.0,-0.0,-0.0
-0.0153846153846153,-0.0061538461538461,0.04,-0.0,-0.0,-0.0
-0.02,-0.0027272727272727,0.04,-0.0,-0.0,-0.0
-0.0123076923076923,-0.0046153846153846,0.04,-0.0,-0.0,-0.0
-0.014,-0.01,0.046,-0.0,-0.0,-0.0
-0.015,-0.0025,0.046875,-0.0,-0.0,-0.0
-0.015,-0.0,0.0425,-0.0,-0.0,-0.0
-0.0146153846153846,-0.0061538461538461,0.04,-0.0,-0.0,-0.0
-0.0027272727272727,-0.0045454545454545,0.04,-0.0,-0.0,-0.0
-0.01,-0.002,0.04,-0.0,-0.0,-0.0
-0.0053333333333333,-0.0033333333333333,0.0453333333333333,-0.0,-0.0,-0.0
-0.01,-0.0,0.045,-0.0,-0.0,-0.0
-0.01,-0.0,0.0475,-0.0,-0.0,-0.0
-0.0183333333333333,-0.005,0.0416666666666666,-0.0,-0.0,-0.0
-0.0163636363636363,-0.0036363636363636,0.0436363636363636,-0.0,-0.0,-0.0
-0.0114285714285714,-0.0007142857142857,0.04,-0.0,-0.0,-0.0
-0.0,-0.01,0.0469230769230769,-0.0,-0.0,-0.0
-0.0176923076923076,-0.0084615384615384,0.0407692307692307,-0.0,-0.0,-0.0
