accy,accz,accx
-0.0107692307692307,-0.0053846153846153,1.05
-0.01,-0.0066666666666666,1.05
-0.01,-0.0085714285714285,1.0535714285714286
-0.0,-0.0072727272727272,1.0427272727272727
-0.0085714285714285,-0.01,1.05
-0.0027272727272727,-0.01,1.0527272727272727
-0.008,-0.002,1.055
-0.0153333333333333,-0.0053333333333333,1.0466666666666666
-0.0076923076923076,-0.01,1.053076923076923
-0.01,-0.01,1.0536363636363637
-0.0128571428571428,-0.0092857142857142,1.0542857142857143
-0.005,-0.0,1.06
-0.005,-0.0,1.055
-0.0075,-0.0075,1.05
-0.0084615384615384,-0.0023076923076923,1.05
-0.0,-0.0027272727272727,1.05
-0.0038461538461538,-0.0,1.0584615384615383
-0.0066666666666666,-0.0066666666666666,1.0533333333333332
-0.0018181818181818,-0.0018181818181818,1.0581818181818181
-0.0,-0.0093333333333333,1.0566666666666666
-0.005,-0.0041666666666666,1.06
-0.01,-0.0033333333333333,1.06
-0.01,-0.0092307692307692,1.0523076923076924
-0.01,-0.0055555555555555,1.0544444444444443
-0.0076470588235294,-0.0088235294117647,1.05
-0.01,-0.0072727272727272,1.05
0.0015384615384615,-0.0092307692307692,1.05
-0.0033333333333333,-0.0,1.0566666666666666
-0.0084615384615384,-0.0046153846153846,1.06
-0.0166666666666666,-0.01,1.0533333333333332
-0.0076923076923076,-0.0061538461538461,1.0538461538461539
-0.01,-0.01,1.0566666666666666
-0.0138461538461538,-0.0053846153846153,1.0515384615384615
-0.01,-0.0066666666666666,1.05
-0.01,-0.0069230769230769,1.0507692307692307
-0.01,-0.0066666666666666,1.0533333333333332
-0.0016666666666666,-0.0083333333333333,1.0541666666666667
-0.0,-0.0061538461538461,1.056153846153846
-0.0081818181818181,-0.0054545454545454,1.0554545454545454
-0.01,-0.0042857142857142,1.0542857142857143
-0.0107692307692307,-0.0076923076923076,1.0546153846153845
-0.0066666666666666,-0.0,1.0533333333333332
-0.0092307692307692,-0.0015384615384615,1.05
-0.0066666666666666,-0.0133333333333333,1.05
-0.0076923076923076,-0.0053846153846153,1.0538461538461539
-0.0,-0.0066666666666666,1.0566666666666666
-0.0,-0.01,1.0523076923076924
-0.0066666666666666,-0.01,1.0533333333333332
-0.0058333333333333,-0.0058333333333333,1.0583333333333333
-0.0138461538461538,-0.01,1.0538461538461539
-0.0007692307692307,-0.0069230769230769,1.0538461538461539
-0.01,-0.0033333333333333,1.0533333333333332
-0.0061538461538461,-0.0084615384615384,1.0538461538461539
-0.0033333333333333,-0.01,1.0566666666666666
-0.0007692307692307,-0.0061538461538461,1.0546153846153845
-0.0033333333333333,-0.01,1.04
-0.0053846153846153,-0.0092307692307692,1.053076923076923
-0.0066666666666666,-0.0,1.0533333333333332
-0.0076923076923076,-0.0046153846153846,1.0538461538461539
-0.0,-0.01,1.05
-0.0,-0.0061538461538461,1.0546153846153845
-0.0066666666666666,-0.0033333333333333,1.06
-0.01,-0.0015384615384615,1.0523076923076924
-0.0166666666666666,-0.0066666666666666,1.0533333333333332
-0.0076923076923076,-0.0053846153846153,1.046153846153846
-0.0233333333333333,-0.0066666666666666,1.05
-0.0053846153846153,-0.0092307692307692,1.0507692307692307
-0.005,-0.0008333333333333,1.0474999999999999
-0.0146153846153846,-0.0092307692307692,1.05
-0.0066666666666666,-0.0,1.05
-0.0023076923076923,-0.0038461538461538,1.0469230769230768
-0.01,-0.0066666666666666,1.0533333333333332
-0.0084615384615384,-0.01,1.0492307692307692
0.01,-0.01,1.04
-0.0053846153846153,-0.0092307692307692,1.0492307692307692
0.0033333333333333,-0.0066666666666666,1.06
-0.0123076923076923,-0.0015384615384615,1.0484615384615383
-0.01,-0.0,1.0533333333333332
-0.0123076923076923,-0.0007692307692307,1.053076923076923
-0.0033333333333333,-0.01,1.0466666666666666
-0.0107692307692307,-0.01,1.046153846153846
-0.0133333333333333,-0.01,1.0433333333333332
-0.009090909090909,-0.0109090909090909,1.048181818181818
-0.0071428571428571,-0.0092857142857142,1.0557142857142856
-0.0141666666666666,-0.01,1.0516666666666665
-0.0,-0.0061538461538461,1.0438461538461539
-0.0007692307692307,-0.0061538461538461,1.0446153846153845
-0.0033333333333333,-0.01,1.05
-0.009090909090909,-0.01,1.0536363636363637
-0.0035714285714285,0.0014285714285714,1.0507142857142857
-0.0038461538461538,-0.0107692307692307,1.0538461538461539
-0.0066666666666666,-0.01,1.05
-0.0061538461538461,-0.01,1.05
-0.01,-0.01,1.05
-0.0138461538461538,-0.01,1.0492307692307692
-0.0033333333333333,-0.01,1.04
-0.0084615384615384,-0.0053846153846153,1.0484615384615383
-0.004,-0.006,1.05
-0.01,-0.006,1.0566666666666666
-0.0,-0.005,1.05
-0.0,-0.01,1.05
-0.0092857142857142,-0.005,1.055
-0.0015384615384615,-0.0007692307692307,1.0476923076923077
-0.0,-0.01,1.05
-0.0007692307692307,-0.0061538461538461,1.0538461538461539
-0.0033333333333333,-0.0033333333333333,1.05
-0.0083333333333333,-0.0124999999999999,1.0458333333333334
0.0038461538461538,-0.01,1.046153846153846
-0.0046153846153846,-0.0084615384615384,1.05
-0.01,0.0036363636363636,1.05
-0.01,-0.0041666666666666,1.0541666666666667
-0.0153846153846153,0.0053846153846153,1.05
-0.0133333333333333,0.0025,1.0466666666666666
-0.0135714285714285,-0.01,1.0478571428571428
-0.0153846153846153,-0.01,1.0507692307692307
-0.0158333333333333,-0.01,1.06
-0.0115384615384615,-0.0092307692307692,1.0507692307692307
-0.0166666666666666,-0.0,1.0466666666666666
-0.0069230769230769,-0.0046153846153846,1.05
-0.0,-0.0166666666666666,1.0433333333333332
-0.0081818181818181,-0.0081818181818181,1.0454545454545454
-0.0042857142857142,-0.0,1.0485714285714285
-0.0124999999999999,-0.0,1.0499999999999998
-0.01,-0.0061538461538461,1.056153846153846
-0.01,-0.01,1.0475
